policy,round,throughput,p50_ms,p95_ms,p99_ms,error_rate,king_share,jack_share,queen_share,king_p50,jack_p50,queen_p50,max_soc_c,start_soc_c
round-robin,1,384.8,88.77,140.15,173.92,0.0000,33.3,33.3,33.3,93.3,88.4,85.1,78.538,81.307
least-queue,1,387.9,89.69,129.63,151.46,0.0000,33.4,33.4,33.3,89.8,89.3,90.0,77.615,82.23
ect,1,386.6,89.98,130.16,153.70,0.0000,33.1,33.4,33.5,89.7,89.7,90.5,77.615,82.23
least-queue,2,208.5,162.46,308.05,365.53,0.0000,33.2,33.0,33.7,161.9,161.6,163.3,61.923,64.692
