Linux 6.1.141 (king) 	08/20/2026 	_aarch64_	(8 CPU)

03:21:18 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:21:25 PM  all   21.35    0.00   13.93    0.00    0.00    8.07    0.00    0.00    0.00   56.64
03:21:25 PM    0    5.05    0.00    8.08    0.00    0.00   62.63    0.00    0.00    0.00   24.24
03:21:25 PM    1   25.53    0.00   14.89    0.00    0.00    0.00    0.00    0.00    0.00   59.57
03:21:25 PM    2   23.16    0.00   14.74    0.00    0.00    0.00    0.00    0.00    0.00   62.11
03:21:25 PM    3   22.92    0.00   14.58    0.00    0.00    0.00    0.00    0.00    0.00   62.50
03:21:25 PM    4   21.74    0.00   19.57    0.00    0.00    0.00    0.00    0.00    0.00   58.70
03:21:25 PM    5   25.00    0.00   13.54    0.00    0.00    0.00    0.00    0.00    0.00   61.46
03:21:25 PM    6   25.77    0.00   14.43    0.00    0.00    0.00    0.00    0.00    0.00   59.79
03:21:25 PM    7   22.22    0.00   12.12    0.00    0.00    0.00    0.00    0.00    0.00   65.66

03:21:25 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:21:26 PM  all   22.86    0.00   14.42    0.00    0.00    8.05    0.00    0.00    0.00   54.68
03:21:26 PM    0    5.21    0.00    7.29    0.00    0.00   64.58    0.00    0.00    0.00   22.92
03:21:26 PM    1   26.04    0.00   15.62    0.00    0.00    0.00    0.00    0.00    0.00   58.33
03:21:26 PM    2   25.00    0.00   12.50    0.00    0.00    0.00    0.00    0.00    0.00   62.50
03:21:26 PM    3   30.61    0.00   14.29    0.00    0.00    0.00    0.00    0.00    0.00   55.10
03:21:26 PM    4   25.77    0.00   17.53    0.00    0.00    0.00    0.00    0.00    0.00   56.70
03:21:26 PM    5   25.26    0.00   14.74    0.00    0.00    0.00    0.00    0.00    0.00   60.00
03:21:26 PM    6   20.62    0.00   17.53    0.00    0.00    0.00    0.00    0.00    0.00   61.86
03:21:26 PM    7   24.21    0.00   15.79    0.00    0.00    0.00    0.00    0.00    0.00   60.00

03:21:26 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:21:27 PM  all   21.52    0.00   16.75    0.00    0.00    8.38    0.00    0.00    0.00   53.35
03:21:27 PM    0    5.00    0.00    8.00    0.00    0.00   65.00    0.00    0.00    0.00   22.00
03:21:27 PM    1   24.00    0.00   16.00    0.00    0.00    0.00    0.00    0.00    0.00   60.00
03:21:27 PM    2   24.74    0.00   13.40    0.00    0.00    0.00    0.00    0.00    0.00   61.86
03:21:27 PM    3   23.96    0.00   16.67    0.00    0.00    0.00    0.00    0.00    0.00   59.38
03:21:27 PM    4   21.65    0.00   24.74    0.00    0.00    0.00    0.00    0.00    0.00   53.61
03:21:27 PM    5   24.74    0.00   19.59    0.00    0.00    0.00    0.00    0.00    0.00   55.67
03:21:27 PM    6   23.40    0.00   20.21    0.00    0.00    0.00    0.00    0.00    0.00   56.38
03:21:27 PM    7   25.26    0.00   15.79    0.00    0.00    0.00    0.00    0.00    0.00   58.95

03:21:27 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:21:28 PM  all   22.47    0.00   15.24    0.00    0.00    7.62    0.00    0.00    0.00   54.66
03:21:28 PM    0    8.42    0.00    7.37    0.00    0.00   61.05    0.00    0.00    0.00   23.16
03:21:28 PM    1   23.16    0.00   14.74    0.00    0.00    0.00    0.00    0.00    0.00   62.11
03:21:28 PM    2   23.16    0.00   10.53    0.00    0.00    0.00    0.00    0.00    0.00   66.32
03:21:28 PM    3   20.83    0.00   15.62    0.00    0.00    0.00    0.00    0.00    0.00   63.54
03:21:28 PM    4   31.18    0.00   19.35    0.00    0.00    0.00    0.00    0.00    0.00   49.46
03:21:28 PM    5   24.21    0.00   18.95    0.00    0.00    0.00    0.00    0.00    0.00   56.84
03:21:28 PM    6   23.71    0.00   20.62    0.00    0.00    0.00    0.00    0.00    0.00   55.67
03:21:28 PM    7   25.26    0.00   14.74    0.00    0.00    0.00    0.00    0.00    0.00   60.00

03:21:28 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:21:29 PM  all   21.95    0.00   15.79    0.00    0.00    7.83    0.00    0.00    0.00   54.43
03:21:29 PM    0    3.23    0.00    4.30    0.00    0.00   65.59    0.00    0.00    0.00   26.88
03:21:29 PM    1   26.04    0.00   15.62    0.00    0.00    0.00    0.00    0.00    0.00   58.33
03:21:29 PM    2   28.12    0.00   13.54    0.00    0.00    0.00    0.00    0.00    0.00   58.33
03:21:29 PM    3   26.26    0.00   12.12    0.00    0.00    0.00    0.00    0.00    0.00   61.62
03:21:29 PM    4   21.78    0.00   25.74    0.00    0.00    0.00    0.00    0.00    0.00   52.48
03:21:29 PM    5   21.00    0.00   20.00    0.00    0.00    0.00    0.00    0.00    0.00   59.00
03:21:29 PM    6   23.96    0.00   18.75    0.00    0.00    0.00    0.00    0.00    0.00   57.29
03:21:29 PM    7   24.49    0.00   15.31    0.00    0.00    0.00    0.00    0.00    0.00   60.20

03:21:29 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:21:30 PM  all   22.35    0.00   14.99    0.00    0.00    7.88    0.00    0.00    0.00   54.78
03:21:30 PM    0    6.19    0.00    8.25    0.00    0.00   62.89    0.00    0.00    0.00   22.68
03:21:30 PM    1   29.90    0.00   15.46    0.00    0.00    0.00    0.00    0.00    0.00   54.64
03:21:30 PM    2   28.87    0.00   16.49    0.00    0.00    0.00    0.00    0.00    0.00   54.64
03:21:30 PM    3   27.55    0.00   15.31    0.00    0.00    0.00    0.00    0.00    0.00   57.14
03:21:30 PM    4   26.60    0.00   15.96    0.00    0.00    0.00    0.00    0.00    0.00   57.45
03:21:30 PM    5   21.65    0.00   18.56    0.00    0.00    0.00    0.00    0.00    0.00   59.79
03:21:30 PM    6   20.83    0.00   16.67    0.00    0.00    0.00    0.00    0.00    0.00   62.50
03:21:30 PM    7   17.35    0.00   13.27    0.00    0.00    0.00    0.00    0.00    0.00   69.39

03:21:30 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:21:31 PM  all   23.91    0.00   15.42    0.00    0.00    7.97    0.00    0.00    0.00   52.70
03:21:31 PM    0   10.20    0.00    5.10    0.00    0.00   63.27    0.00    0.00    0.00   21.43
03:21:31 PM    1   29.00    0.00   17.00    0.00    0.00    0.00    0.00    0.00    0.00   54.00
03:21:31 PM    2   27.55    0.00   12.24    0.00    0.00    0.00    0.00    0.00    0.00   60.20
03:21:31 PM    3   27.37    0.00   12.63    0.00    0.00    0.00    0.00    0.00    0.00   60.00
03:21:31 PM    4   24.49    0.00   23.47    0.00    0.00    0.00    0.00    0.00    0.00   52.04
03:21:31 PM    5   26.26    0.00   18.18    0.00    0.00    0.00    0.00    0.00    0.00   55.56
03:21:31 PM    6   23.71    0.00   17.53    0.00    0.00    0.00    0.00    0.00    0.00   58.76
03:21:31 PM    7   22.58    0.00   17.20    0.00    0.00    0.00    0.00    0.00    0.00   60.22

03:21:31 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:21:32 PM  all   22.42    0.00   15.72    0.00    0.00    7.60    0.00    0.00    0.00   54.25
03:21:32 PM    0    4.21    0.00    8.42    0.00    0.00   62.11    0.00    0.00    0.00   25.26
03:21:32 PM    1   24.24    0.00   14.14    0.00    0.00    0.00    0.00    0.00    0.00   61.62
03:21:32 PM    2   20.83    0.00   11.46    0.00    0.00    0.00    0.00    0.00    0.00   67.71
03:21:32 PM    3   26.32    0.00   11.58    0.00    0.00    0.00    0.00    0.00    0.00   62.11
03:21:32 PM    4   27.27    0.00   25.25    0.00    0.00    0.00    0.00    0.00    0.00   47.47
03:21:32 PM    5   25.77    0.00   16.49    0.00    0.00    0.00    0.00    0.00    0.00   57.73
03:21:32 PM    6   25.00    0.00   19.79    0.00    0.00    0.00    0.00    0.00    0.00   55.21
03:21:32 PM    7   25.25    0.00   18.18    0.00    0.00    0.00    0.00    0.00    0.00   56.57

03:21:32 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:21:33 PM  all   22.48    0.00   13.92    0.00    0.00    8.05    0.00    0.00    0.00   55.56
