Linux 6.1.141 (king) 	08/20/2026 	_aarch64_	(8 CPU)

03:16:09 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:16:10 PM  1000     62053         -  176.00  141.00    0.00    0.00  317.00     5  npuforge-node.s
03:16:10 PM  1000         -     62053    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
03:16:10 PM  1000         -     62054   21.00   17.00    0.00    1.00   38.00     0  |__tokio-rt-worker
03:16:10 PM  1000         -     62055   22.00   16.00    0.00    1.00   38.00     5  |__tokio-rt-worker
03:16:10 PM  1000         -     62056   23.00   19.00    0.00    2.00   42.00     6  |__tokio-rt-worker
03:16:10 PM  1000         -     62057   17.00   20.00    0.00    2.00   37.00     6  |__tokio-rt-worker
03:16:10 PM  1000         -     62058   23.00   18.00    0.00    1.00   41.00     1  |__tokio-rt-worker
03:16:10 PM  1000         -     62059   20.00   18.00    0.00    1.00   38.00     4  |__tokio-rt-worker
03:16:10 PM  1000         -     62060   28.00   13.00    0.00    2.00   41.00     2  |__tokio-rt-worker
03:16:10 PM  1000         -     62061   20.00   19.00    0.00    1.00   39.00     7  |__tokio-rt-worker
03:16:11 PM  1000     62053         -  202.00  180.00    0.00    0.00  382.00     5  npuforge-node.s
03:16:11 PM  1000         -     62053    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
03:16:11 PM  1000         -     62054   28.00   22.00    0.00    2.00   50.00     5  |__tokio-rt-worker
03:16:11 PM  1000         -     62055   25.00   25.00    0.00    4.00   50.00     1  |__tokio-rt-worker
03:16:11 PM  1000         -     62056   28.00   20.00    0.00    4.00   48.00     7  |__tokio-rt-worker
03:16:11 PM  1000         -     62057   25.00   23.00    0.00    3.00   48.00     5  |__tokio-rt-worker
03:16:11 PM  1000         -     62058   23.00   24.00    0.00    3.00   47.00     5  |__tokio-rt-worker
03:16:11 PM  1000         -     62059   24.00   24.00    0.00    3.00   48.00     4  |__tokio-rt-worker
03:16:11 PM  1000         -     62060   27.00   23.00    0.00    2.00   50.00     6  |__tokio-rt-worker
03:16:11 PM  1000         -     62061   25.00   19.00    0.00    3.00   44.00     0  |__tokio-rt-worker
03:16:12 PM  1000     62053         -  151.00  130.00    0.00    0.00  281.00     5  npuforge-node.s
03:16:12 PM  1000         -     62053    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
03:16:12 PM  1000         -     62054   19.00   16.00    0.00    2.00   35.00     1  |__tokio-rt-worker
03:16:12 PM  1000         -     62055   16.00   18.00    0.00    0.00   34.00     4  |__tokio-rt-worker
03:16:12 PM  1000         -     62056   22.00   13.00    0.00    0.00   35.00     0  |__tokio-rt-worker
03:16:12 PM  1000         -     62057   15.00   13.00    0.00    1.00   28.00     5  |__tokio-rt-worker
03:16:12 PM  1000         -     62058   17.00   17.00    0.00    1.00   34.00     6  |__tokio-rt-worker
03:16:12 PM  1000         -     62059   20.00   20.00    0.00    1.00   40.00     2  |__tokio-rt-worker
03:16:12 PM  1000         -     62060   21.00   16.00    0.00    1.00   37.00     2  |__tokio-rt-worker
03:16:12 PM  1000         -     62061   21.00   15.00    0.00    0.00   36.00     3  |__tokio-rt-worker
03:16:13 PM  1000     62053         -  176.00  135.00    0.00    0.00  311.00     5  npuforge-node.s
03:16:13 PM  1000         -     62053    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
03:16:13 PM  1000         -     62054   23.00   14.00    0.00    1.00   37.00     7  |__tokio-rt-worker
03:16:13 PM  1000         -     62055   20.00   18.00    0.00    2.00   38.00     7  |__tokio-rt-worker
03:16:13 PM  1000         -     62056   21.00   21.00    0.00    1.00   42.00     4  |__tokio-rt-worker
03:16:13 PM  1000         -     62057   25.00   14.00    0.00    1.00   39.00     2  |__tokio-rt-worker
03:16:13 PM  1000         -     62058   19.00   20.00    0.00    2.00   39.00     1  |__tokio-rt-worker
03:16:13 PM  1000         -     62059   23.00   16.00    0.00    1.00   39.00     1  |__tokio-rt-worker
03:16:13 PM  1000         -     62060   22.00   15.00    0.00    1.00   37.00     3  |__tokio-rt-worker
03:16:13 PM  1000         -     62061   21.00   18.00    0.00    1.00   39.00     6  |__tokio-rt-worker
03:16:14 PM  1000     62053         -  180.00  148.00    0.00    0.00  328.00     5  npuforge-node.s
03:16:14 PM  1000         -     62053    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
03:16:14 PM  1000         -     62054   22.00   19.00    0.00    2.00   41.00     4  |__tokio-rt-worker
03:16:14 PM  1000         -     62055   22.00   18.00    0.00    2.00   40.00     7  |__tokio-rt-worker
03:16:14 PM  1000         -     62056   23.00   17.00    0.00    1.00   40.00     0  |__tokio-rt-worker
03:16:14 PM  1000         -     62057   22.00   23.00    0.00    2.00   45.00     1  |__tokio-rt-worker
03:16:14 PM  1000         -     62058   23.00   19.00    0.00    1.00   42.00     6  |__tokio-rt-worker
03:16:14 PM  1000         -     62059   25.00   17.00    0.00    1.00   42.00     2  |__tokio-rt-worker
03:16:14 PM  1000         -     62060   21.00   20.00    0.00    2.00   41.00     3  |__tokio-rt-worker
03:16:14 PM  1000         -     62061   24.00   16.00    0.00    2.00   40.00     6  |__tokio-rt-worker
03:16:15 PM  1000     62053         -  194.00  146.00    0.00    0.00  340.00     5  npuforge-node.s
03:16:15 PM  1000         -     62053    0.00    0.00    0.00    0.00    0.00     5  |__npuforge-node.s
03:16:15 PM  1000         -     62054   25.00   15.00    0.00    1.00   40.00     3  |__tokio-rt-worker
03:16:15 PM  1000         -     62055   22.00   20.00    0.00    1.00   42.00     4  |__tokio-rt-worker
