Linux 6.1.141 (king) 	08/20/2026 	_aarch64_	(8 CPU)

03:26:26 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:26:27 PM  1000     63938         -  187.13  144.55    0.00    0.00  331.68     6  npuforge-node.s
03:26:27 PM  1000         -     63938    0.00    0.00    0.00    0.00    0.00     6  |__npuforge-node.s
03:26:27 PM  1000         -     63939   25.74   24.75    0.00    0.99   50.50     4  |__tokio-rt-worker
03:26:27 PM  1000         -     63940   19.80   16.83    0.00    1.98   36.63     7  |__tokio-rt-worker
03:26:27 PM  1000         -     63941   21.78   17.82    0.00    1.98   39.60     6  |__tokio-rt-worker
03:26:27 PM  1000         -     63942   22.77   18.81    0.00    2.97   41.58     2  |__tokio-rt-worker
03:26:27 PM  1000         -     63943   24.75   17.82    0.00    0.99   42.57     4  |__tokio-rt-worker
03:26:27 PM  1000         -     63944   24.75   16.83    0.00    1.98   41.58     1  |__tokio-rt-worker
03:26:27 PM  1000         -     63945   23.76   14.85    0.00    1.98   38.61     5  |__tokio-rt-worker
03:26:27 PM  1000         -     63946   22.77   16.83    0.00    1.98   39.60     7  |__tokio-rt-worker
03:26:28 PM  1000     63938         -  199.00  151.00    0.00    0.00  350.00     6  npuforge-node.s
03:26:28 PM  1000         -     63938    0.00    0.00    0.00    0.00    0.00     6  |__npuforge-node.s
03:26:28 PM  1000         -     63939   25.00   18.00    0.00    2.00   43.00     0  |__tokio-rt-worker
03:26:28 PM  1000         -     63940   28.00   17.00    0.00    1.00   45.00     4  |__tokio-rt-worker
03:26:28 PM  1000         -     63941   27.00   17.00    0.00    2.00   44.00     5  |__tokio-rt-worker
03:26:28 PM  1000         -     63942   22.00   20.00    0.00    1.00   42.00     7  |__tokio-rt-worker
03:26:28 PM  1000         -     63943   25.00   19.00    0.00    2.00   44.00     6  |__tokio-rt-worker
03:26:28 PM  1000         -     63944   26.00   18.00    0.00    2.00   44.00     3  |__tokio-rt-worker
03:26:28 PM  1000         -     63945   22.00   20.00    0.00    2.00   42.00     2  |__tokio-rt-worker
03:26:28 PM  1000         -     63946   24.00   21.00    0.00    2.00   45.00     1  |__tokio-rt-worker
03:26:29 PM  1000     63938         -  186.00  166.00    0.00    0.00  352.00     6  npuforge-node.s
03:26:29 PM  1000         -     63938    0.00    0.00    0.00    0.00    0.00     6  |__npuforge-node.s
03:26:29 PM  1000         -     63939   25.00   20.00    0.00    1.00   45.00     7  |__tokio-rt-worker
03:26:29 PM  1000         -     63940   22.00   21.00    0.00    2.00   43.00     7  |__tokio-rt-worker
03:26:29 PM  1000         -     63941   19.00   22.00    0.00    1.00   41.00     1  |__tokio-rt-worker
03:26:29 PM  1000         -     63942   23.00   22.00    0.00    1.00   45.00     5  |__tokio-rt-worker
03:26:29 PM  1000         -     63943   24.00   19.00    0.00    1.00   43.00     2  |__tokio-rt-worker
03:26:29 PM  1000         -     63944   22.00   23.00    0.00    2.00   45.00     6  |__tokio-rt-worker
03:26:29 PM  1000         -     63945   28.00   19.00    0.00    1.00   47.00     6  |__tokio-rt-worker
03:26:29 PM  1000         -     63946   22.00   20.00    0.00    1.00   42.00     3  |__tokio-rt-worker
03:26:30 PM  1000     63938         -  179.00  144.00    0.00    0.00  323.00     6  npuforge-node.s
03:26:30 PM  1000         -     63938    0.00    0.00    0.00    0.00    0.00     6  |__npuforge-node.s
03:26:30 PM  1000         -     63939   27.00   15.00    0.00    2.00   42.00     6  |__tokio-rt-worker
03:26:30 PM  1000         -     63940   20.00   21.00    0.00    1.00   41.00     5  |__tokio-rt-worker
03:26:30 PM  1000         -     63941   19.00   18.00    0.00    1.00   37.00     1  |__tokio-rt-worker
03:26:30 PM  1000         -     63942   25.00   18.00    0.00    2.00   43.00     0  |__tokio-rt-worker
03:26:30 PM  1000         -     63943   20.00   18.00    0.00    3.00   38.00     6  |__tokio-rt-worker
03:26:30 PM  1000         -     63944   20.00   17.00    0.00    2.00   37.00     2  |__tokio-rt-worker
03:26:30 PM  1000         -     63945   25.00   18.00    0.00    1.00   43.00     7  |__tokio-rt-worker
03:26:30 PM  1000         -     63946   24.00   21.00    0.00    2.00   45.00     6  |__tokio-rt-worker
03:26:31 PM  1000     63938         -  199.00  171.00    0.00    0.00  370.00     6  npuforge-node.s
03:26:31 PM  1000         -     63938    0.00    0.00    0.00    0.00    0.00     6  |__npuforge-node.s
03:26:31 PM  1000         -     63939   26.00   21.00    0.00    3.00   47.00     0  |__tokio-rt-worker
03:26:31 PM  1000         -     63940   21.00   24.00    0.00    3.00   45.00     4  |__tokio-rt-worker
03:26:31 PM  1000         -     63941   26.00   18.00    0.00    3.00   44.00     7  |__tokio-rt-worker
03:26:31 PM  1000         -     63942   26.00   22.00    0.00    3.00   48.00     6  |__tokio-rt-worker
03:26:31 PM  1000         -     63943   24.00   22.00    0.00    4.00   46.00     7  |__tokio-rt-worker
03:26:31 PM  1000         -     63944   25.00   25.00    0.00    3.00   50.00     2  |__tokio-rt-worker
03:26:31 PM  1000         -     63945   26.00   19.00    0.00    2.00   45.00     5  |__tokio-rt-worker
03:26:31 PM  1000         -     63946   26.00   17.00    0.00    2.00   43.00     2  |__tokio-rt-worker
03:26:32 PM  1000     63938         -  197.00  154.00    0.00    0.00  351.00     6  npuforge-node.s
03:26:32 PM  1000         -     63938    0.00    0.00    0.00    0.00    0.00     6  |__npuforge-node.s
03:26:32 PM  1000         -     63939   21.00   27.00    0.00    2.00   48.00     4  |__tokio-rt-worker
03:26:32 PM  1000         -     63940   24.00   15.00    0.00    1.00   39.00     6  |__tokio-rt-worker
03:26:32 PM  1000         -     63941   21.00   22.00    0.00    2.00   43.00     5  |__tokio-rt-worker
03:26:32 PM  1000         -     63942   26.00   19.00    0.00    2.00   45.00     6  |__tokio-rt-worker
03:26:32 PM  1000         -     63943   25.00   19.00    0.00    3.00   44.00     2  |__tokio-rt-worker
03:26:32 PM  1000         -     63944   26.00   16.00    0.00    2.00   42.00     2  |__tokio-rt-worker
03:26:32 PM  1000         -     63945   27.00   18.00    0.00    2.00   45.00     7  |__tokio-rt-worker
03:26:32 PM  1000         -     63946   28.00   19.00    0.00    1.00   47.00     3  |__tokio-rt-worker
03:26:33 PM  1000     63938         -  185.00  158.00    0.00    0.00  343.00     6  npuforge-node.s
03:26:33 PM  1000         -     63938    0.00    0.00    0.00    0.00    0.00     6  |__npuforge-node.s
03:26:33 PM  1000         -     63939   22.00   19.00    0.00    2.00   41.00     3  |__tokio-rt-worker
03:26:33 PM  1000         -     63940   27.00   16.00    0.00    2.00   43.00     6  |__tokio-rt-worker
03:26:33 PM  1000         -     63941   23.00   21.00    0.00    2.00   44.00     4  |__tokio-rt-worker
03:26:33 PM  1000         -     63942   23.00   17.00    0.00    1.00   40.00     1  |__tokio-rt-worker
03:26:33 PM  1000         -     63943   20.00   25.00    0.00    2.00   45.00     2  |__tokio-rt-worker
03:26:33 PM  1000         -     63944   22.00   19.00    0.00    2.00   41.00     0  |__tokio-rt-worker
03:26:33 PM  1000         -     63945   23.00   22.00    0.00    2.00   45.00     7  |__tokio-rt-worker
03:26:33 PM  1000         -     63946   25.00   19.00    0.00    2.00   44.00     1  |__tokio-rt-worker
03:26:34 PM  1000     63938         -  185.00  151.00    0.00    0.00  336.00     6  npuforge-node.s
03:26:34 PM  1000         -     63938    0.00    0.00    0.00    0.00    0.00     6  |__npuforge-node.s
03:26:34 PM  1000         -     63939   25.00   18.00    0.00    2.00   43.00     5  |__tokio-rt-worker
03:26:34 PM  1000         -     63940   23.00   21.00    0.00    1.00   44.00     4  |__tokio-rt-worker
03:26:34 PM  1000         -     63941   24.00   15.00    0.00    1.00   39.00     2  |__tokio-rt-worker
03:26:34 PM  1000         -     63942   24.00   15.00    0.00    2.00   39.00     6  |__tokio-rt-worker
03:26:34 PM  1000         -     63943   22.00   19.00    0.00    1.00   41.00     5  |__tokio-rt-worker
03:26:34 PM  1000         -     63944   22.00   22.00    0.00    2.00   44.00     2  |__tokio-rt-worker
03:26:34 PM  1000         -     63945   20.00   22.00    0.00    0.00   42.00     5  |__tokio-rt-worker
03:26:34 PM  1000         -     63946   25.00   18.00    0.00    1.00   43.00     3  |__tokio-rt-worker
03:26:35 PM  1000     63938         -  189.00  137.00    0.00    0.00  326.00     6  npuforge-node.s
03:26:35 PM  1000         -     63938    0.00    0.00    0.00    0.00    0.00     6  |__npuforge-node.s
03:26:35 PM  1000         -     63939   23.00   15.00    0.00    0.00   38.00     5  |__tokio-rt-worker
03:26:35 PM  1000         -     63940   24.00   21.00    0.00    1.00   45.00     5  |__tokio-rt-worker
03:26:35 PM  1000         -     63941   27.00   19.00    0.00    1.00   46.00     3  |__tokio-rt-worker
03:26:35 PM  1000         -     63942   22.00   19.00    0.00    0.00   41.00     1  |__tokio-rt-worker
03:26:35 PM  1000         -     63943   18.00   19.00    0.00    1.00   37.00     6  |__tokio-rt-worker
03:26:35 PM  1000         -     63944   25.00   14.00    0.00    0.00   39.00     2  |__tokio-rt-worker
03:26:35 PM  1000         -     63945   24.00   17.00    0.00    1.00   41.00     5  |__tokio-rt-worker
03:26:35 PM  1000         -     63946   25.00   14.00    0.00    1.00   39.00     1  |__tokio-rt-worker
03:26:36 PM  1000     63938         -  196.00  157.00    0.00    0.00  353.00     6  npuforge-node.s
03:26:36 PM  1000         -     63938    0.00    0.00    0.00    0.00    0.00     6  |__npuforge-node.s
03:26:36 PM  1000         -     63939   25.00   17.00    0.00    2.00   42.00     5  |__tokio-rt-worker
03:26:36 PM  1000         -     63940   23.00   22.00    0.00    2.00   45.00     6  |__tokio-rt-worker
03:26:36 PM  1000         -     63941   26.00   20.00    0.00    3.00   46.00     6  |__tokio-rt-worker
03:26:36 PM  1000         -     63942   26.00   20.00    0.00    2.00   46.00     0  |__tokio-rt-worker
03:26:36 PM  1000         -     63943   22.00   25.00    0.00    2.00   47.00     4  |__tokio-rt-worker
03:26:36 PM  1000         -     63944   22.00   19.00    0.00    3.00   41.00     3  |__tokio-rt-worker
03:26:36 PM  1000         -     63945   25.00   17.00    0.00    3.00   42.00     2  |__tokio-rt-worker
03:26:36 PM  1000         -     63946   26.00   18.00    0.00    2.00   44.00     1  |__tokio-rt-worker
03:26:37 PM  1000     63938         -  170.00  143.00    0.00    0.00  313.00     6  npuforge-node.s
03:26:37 PM  1000         -     63938    0.00    0.00    0.00    0.00    0.00     6  |__npuforge-node.s
03:26:37 PM  1000         -     63939   21.00   19.00    0.00    1.00   40.00     4  |__tokio-rt-worker
03:26:37 PM  1000         -     63940   17.00   19.00    0.00    2.00   36.00     7  |__tokio-rt-worker
03:26:37 PM  1000         -     63941   23.00   16.00    0.00    1.00   39.00     7  |__tokio-rt-worker
03:26:37 PM  1000         -     63942   18.00   21.00    0.00    1.00   39.00     2  |__tokio-rt-worker
03:26:37 PM  1000         -     63943   25.00   12.00    0.00    1.00   37.00     5  |__tokio-rt-worker
03:26:37 PM  1000         -     63944   18.00   19.00    0.00    1.00   37.00     3  |__tokio-rt-worker
03:26:37 PM  1000         -     63945   23.00   17.00    0.00    1.00   40.00     7  |__tokio-rt-worker
03:26:37 PM  1000         -     63946   27.00   19.00    0.00    2.00   46.00     6  |__tokio-rt-worker
03:26:38 PM  1000     63938         -  184.00  142.00    0.00    0.00  326.00     6  npuforge-node.s
03:26:38 PM  1000         -     63938    0.00    0.00    0.00    0.00    0.00     6  |__npuforge-node.s
03:26:38 PM  1000         -     63939   23.00   18.00    0.00    1.00   41.00     2  |__tokio-rt-worker
03:26:38 PM  1000         -     63940   24.00   18.00    0.00    1.00   42.00     4  |__tokio-rt-worker
03:26:38 PM  1000         -     63941   22.00   19.00    0.00    1.00   41.00     0  |__tokio-rt-worker
03:26:38 PM  1000         -     63942   23.00   19.00    0.00    1.00   42.00     3  |__tokio-rt-worker
03:26:38 PM  1000         -     63943   21.00   17.00    0.00    1.00   38.00     4  |__tokio-rt-worker
03:26:38 PM  1000         -     63944   23.00   18.00    0.00    2.00   41.00     6  |__tokio-rt-worker
03:26:38 PM  1000         -     63945   22.00   17.00    0.00    1.00   39.00     7  |__tokio-rt-worker
03:26:38 PM  1000         -     63946   25.00   15.00    0.00    1.00   40.00     1  |__tokio-rt-worker
03:26:39 PM  1000     63938         -  195.00  154.00    0.00    0.00  349.00     6  npuforge-node.s
03:26:39 PM  1000         -     63938    0.00    0.00    0.00    0.00    0.00     6  |__npuforge-node.s
03:26:39 PM  1000         -     63939   27.00   18.00    0.00    2.00   45.00     4  |__tokio-rt-worker
03:26:39 PM  1000         -     63940   22.00   21.00    0.00    2.00   43.00     2  |__tokio-rt-worker
03:26:39 PM  1000         -     63941   24.00   19.00    0.00    1.00   43.00     5  |__tokio-rt-worker
03:26:39 PM  1000         -     63942   26.00   18.00    0.00    1.00   44.00     2  |__tokio-rt-worker
03:26:39 PM  1000         -     63943   20.00   22.00    0.00    2.00   42.00     6  |__tokio-rt-worker
03:26:39 PM  1000         -     63944   25.00   18.00    0.00    2.00   43.00     5  |__tokio-rt-worker
03:26:39 PM  1000         -     63945   25.00   19.00    0.00    1.00   44.00     5  |__tokio-rt-worker
03:26:39 PM  1000         -     63946   26.00   21.00    0.00    1.00   47.00     1  |__tokio-rt-worker
03:26:40 PM  1000     63938         -  183.00  151.00    0.00    0.00  334.00     6  npuforge-node.s
03:26:40 PM  1000         -     63938    0.00    0.00    0.00    0.00    0.00     6  |__npuforge-node.s
03:26:40 PM  1000         -     63939   22.00   18.00    0.00    1.00   40.00     3  |__tokio-rt-worker
03:26:40 PM  1000         -     63940   24.00   17.00    0.00    1.00   41.00     3  |__tokio-rt-worker
03:26:40 PM  1000         -     63941   21.00   24.00    0.00    2.00   45.00     5  |__tokio-rt-worker
03:26:40 PM  1000         -     63942   22.00   17.00    0.00    2.00   39.00     0  |__tokio-rt-worker
03:26:40 PM  1000         -     63943   22.00   19.00    0.00    1.00   41.00     7  |__tokio-rt-worker
03:26:40 PM  1000         -     63944   25.00   17.00    0.00    1.00   42.00     6  |__tokio-rt-worker
03:26:40 PM  1000         -     63945   21.00   19.00    0.00    2.00   40.00     4  |__tokio-rt-worker
03:26:40 PM  1000         -     63946   25.00   19.00    0.00    2.00   44.00     1  |__tokio-rt-worker
03:26:41 PM  1000     63938         -  163.00  145.00    0.00    0.00  308.00     6  npuforge-node.s
03:26:41 PM  1000         -     63938    0.00    0.00    0.00    0.00    0.00     6  |__npuforge-node.s
03:26:41 PM  1000         -     63939   19.00   19.00    0.00    2.00   38.00     2  |__tokio-rt-worker
