Linux 6.1.141 (king) 	08/20/2026 	_aarch64_	(8 CPU)

01:19:05 PM   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:19:12 PM  1000         -     53259    0.00    0.00    0.00    0.00    0.00     4  |__npuforge-node.s
01:19:12 PM  1000         -     53260   19.00   30.00    0.00    2.00   49.00     5  |__tokio-rt-worker
01:19:12 PM  1000         -     53261   22.00   24.00    0.00    2.00   46.00     0  |__tokio-rt-worker
01:19:12 PM  1000         -     53262   24.00   21.00    0.00    3.00   45.00     7  |__tokio-rt-worker
01:19:12 PM  1000         -     53263   22.00   21.00    0.00    2.00   43.00     4  |__tokio-rt-worker
01:19:12 PM  1000         -     53264   18.00   26.00    0.00    2.00   44.00     2  |__tokio-rt-worker
01:19:12 PM  1000         -     53265   22.00   24.00    0.00    2.00   46.00     4  |__tokio-rt-worker
01:19:12 PM  1000         -     53266   22.00   21.00    0.00    2.00   43.00     6  |__tokio-rt-worker
01:19:12 PM  1000         -     53267   24.00   21.00    0.00    2.00   45.00     2  |__tokio-rt-worker
01:19:13 PM  1000     53259         -  172.00  140.00    0.00    0.00  312.00     4  npuforge-node.s
01:19:13 PM  1000         -     53259    0.00    0.00    0.00    0.00    0.00     4  |__npuforge-node.s
01:19:13 PM  1000         -     53260   23.00   17.00    0.00    1.00   40.00     0  |__tokio-rt-worker
01:19:13 PM  1000         -     53261   21.00   18.00    0.00    1.00   39.00     5  |__tokio-rt-worker
01:19:13 PM  1000         -     53262   21.00   16.00    0.00    1.00   37.00     7  |__tokio-rt-worker
01:19:13 PM  1000         -     53263   21.00   20.00    0.00    1.00   41.00     4  |__tokio-rt-worker
01:19:13 PM  1000         -     53264   23.00   17.00    0.00    1.00   40.00     6  |__tokio-rt-worker
01:19:13 PM  1000         -     53265   21.00   17.00    0.00    1.00   38.00     3  |__tokio-rt-worker
01:19:13 PM  1000         -     53266   22.00   21.00    0.00    2.00   43.00     4  |__tokio-rt-worker
01:19:13 PM  1000         -     53267   22.00   13.00    0.00    2.00   35.00     5  |__tokio-rt-worker
01:19:14 PM  1000     53259         -  195.00  166.00    0.00    0.00  361.00     4  npuforge-node.s
01:19:14 PM  1000         -     53259    0.00    0.00    0.00    0.00    0.00     4  |__npuforge-node.s
01:19:14 PM  1000         -     53260   21.00   24.00    0.00    1.00   45.00     6  |__tokio-rt-worker
01:19:14 PM  1000         -     53261   27.00   20.00    0.00    1.00   47.00     4  |__tokio-rt-worker
01:19:14 PM  1000         -     53262   21.00   24.00    0.00    2.00   45.00     6  |__tokio-rt-worker
01:19:14 PM  1000         -     53263   26.00   22.00    0.00    2.00   48.00     7  |__tokio-rt-worker
01:19:14 PM  1000         -     53264   25.00   20.00    0.00    3.00   45.00     5  |__tokio-rt-worker
01:19:14 PM  1000         -     53265   24.00   19.00    0.00    2.00   43.00     7  |__tokio-rt-worker
01:19:14 PM  1000         -     53266   23.00   20.00    0.00    1.00   43.00     4  |__tokio-rt-worker
01:19:14 PM  1000         -     53267   28.00   18.00    0.00    1.00   46.00     0  |__tokio-rt-worker
01:19:15 PM  1000     53259         -  181.00  153.00    0.00    0.00  334.00     4  npuforge-node.s
01:19:15 PM  1000         -     53259    0.00    0.00    0.00    0.00    0.00     4  |__npuforge-node.s
01:19:15 PM  1000         -     53260   23.00   18.00    0.00    1.00   41.00     4  |__tokio-rt-worker
01:19:15 PM  1000         -     53261   19.00   23.00    0.00    1.00   42.00     1  |__tokio-rt-worker
01:19:15 PM  1000         -     53262   21.00   19.00    0.00    0.00   40.00     3  |__tokio-rt-worker
01:19:15 PM  1000         -     53263   22.00   17.00    0.00    1.00   39.00     3  |__tokio-rt-worker
01:19:15 PM  1000         -     53264   22.00   19.00    0.00    1.00   41.00     7  |__tokio-rt-worker
01:19:15 PM  1000         -     53265   23.00   19.00    0.00    1.00   42.00     0  |__tokio-rt-worker
01:19:15 PM  1000         -     53266   26.00   16.00    0.00    1.00   42.00     5  |__tokio-rt-worker
01:19:15 PM  1000         -     53267   24.00   22.00    0.00    2.00   46.00     6  |__tokio-rt-worker
01:19:16 PM  1000     53259         -  192.00  181.00    0.00    0.00  373.00     4  npuforge-node.s
01:19:16 PM  1000         -     53259    0.00    0.00    0.00    0.00    0.00     4  |__npuforge-node.s
01:19:16 PM  1000         -     53260   24.00   22.00    0.00    3.00   46.00     5  |__tokio-rt-worker
01:19:16 PM  1000         -     53261   22.00   24.00    0.00    3.00   46.00     6  |__tokio-rt-worker
01:19:16 PM  1000         -     53262   25.00   22.00    0.00    3.00   47.00     2  |__tokio-rt-worker
01:19:16 PM  1000         -     53263   29.00   19.00    0.00    3.00   48.00     6  |__tokio-rt-worker
01:19:16 PM  1000         -     53264   20.00   26.00    0.00    3.00   46.00     7  |__tokio-rt-worker
01:19:16 PM  1000         -     53265   24.00   28.00    0.00    2.00   52.00     4  |__tokio-rt-worker
01:19:16 PM  1000         -     53266   25.00   19.00    0.00    2.00   44.00     6  |__tokio-rt-worker
01:19:16 PM  1000         -     53267   23.00   21.00    0.00    2.00   44.00     6  |__tokio-rt-worker
01:19:17 PM  1000     53259         -  208.00  148.00    0.00    0.00  356.00     4  npuforge-node.s
01:19:17 PM  1000         -     53259    0.00    0.00    0.00    0.00    0.00     4  |__npuforge-node.s
01:19:17 PM  1000         -     53260   29.00   17.00    0.00    2.00   46.00     5  |__tokio-rt-worker
01:19:17 PM  1000         -     53261   23.00   23.00    0.00    4.00   46.00     0  |__tokio-rt-worker
01:19:17 PM  1000         -     53262   27.00   17.00    0.00    2.00   44.00     2  |__tokio-rt-worker
01:19:17 PM  1000         -     53263   28.00   17.00    0.00    2.00   45.00     6  |__tokio-rt-worker
01:19:17 PM  1000         -     53264   24.00   20.00    0.00    1.00   44.00     4  |__tokio-rt-worker
01:19:17 PM  1000         -     53265   23.00   17.00    0.00    1.00   40.00     1  |__tokio-rt-worker
01:19:17 PM  1000         -     53266   29.00   17.00    0.00    3.00   46.00     7  |__tokio-rt-worker
01:19:17 PM  1000         -     53267   25.00   20.00    0.00    2.00   45.00     0  |__tokio-rt-worker
01:19:18 PM  1000     53259         -  178.00  160.00    0.00    0.00  338.00     4  npuforge-node.s
01:19:18 PM  1000         -     53259    0.00    0.00    0.00    0.00    0.00     4  |__npuforge-node.s
01:19:18 PM  1000         -     53260   22.00   16.00    0.00    1.00   38.00     7  |__tokio-rt-worker
01:19:18 PM  1000         -     53261   21.00   24.00    0.00    1.00   45.00     1  |__tokio-rt-worker
01:19:18 PM  1000         -     53262   21.00   21.00    0.00    2.00   42.00     5  |__tokio-rt-worker
