Linux 6.1.141 (king) 	08/20/2026 	_aarch64_	(8 CPU)

01:25:19 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:25:20 PM  all   25.42    0.00   15.30    0.00    0.00    8.95    0.00    0.00    0.00   50.32
01:25:20 PM    0   14.29    0.00   10.20    0.00    0.00   52.04    0.00    0.00    0.00   23.47
01:25:20 PM    1   20.62    0.00   11.34    0.00    0.00    0.00    0.00    0.00    0.00   68.04
01:25:20 PM    2   23.71    0.00   11.34    0.00    0.00    0.00    0.00    0.00    0.00   64.95
01:25:20 PM    3   25.26    0.00    8.42    0.00    0.00    0.00    0.00    0.00    0.00   66.32
01:25:20 PM    4   31.96    0.00   23.71    0.00    0.00    0.00    0.00    0.00    0.00   44.33
01:25:20 PM    5   25.00    0.00   20.83    0.00    0.00   11.46    0.00    0.00    0.00   42.71
01:25:20 PM    6   29.79    0.00   21.28    0.00    0.00    7.45    0.00    0.00    0.00   41.49
01:25:20 PM    7   32.99    0.00   15.46    0.00    0.00    0.00    0.00    0.00    0.00   51.55

01:25:20 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:25:21 PM  all   26.51    0.00   18.53    0.00    0.00    9.52    0.00    0.00    0.00   45.43
01:25:21 PM    0    7.22    0.00   11.34    0.00    0.00   57.73    0.00    0.00    0.00   23.71
01:25:21 PM    1   22.77    0.00    9.90    0.00    0.00    0.00    0.00    0.00    0.00   67.33
01:25:21 PM    2   14.89    0.00    4.26    0.00    0.00    0.00    0.00    0.00    0.00   80.85
01:25:21 PM    3   18.37    0.00    8.16    0.00    0.00    0.00    0.00    0.00    0.00   73.47
01:25:21 PM    4   41.24    0.00   28.87    0.00    0.00    1.03    0.00    0.00    0.00   28.87
01:25:21 PM    5   38.54    0.00   21.88    0.00    0.00    9.38    0.00    0.00    0.00   30.21
01:25:21 PM    6   32.99    0.00   34.02    0.00    0.00    8.25    0.00    0.00    0.00   24.74
01:25:21 PM    7   36.08    0.00   29.90    0.00    0.00    0.00    0.00    0.00    0.00   34.02

01:25:21 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:25:22 PM  all   24.97    0.00   16.22    0.00    0.00    9.01    0.00    0.00    0.00   49.81
01:25:22 PM    0   10.10    0.00    8.08    0.00    0.00   57.58    0.00    0.00    0.00   24.24
01:25:22 PM    1   22.22    0.00   12.12    0.00    0.00    0.00    0.00    0.00    0.00   65.66
01:25:22 PM    2   26.53    0.00   12.24    0.00    0.00    0.00    0.00    0.00    0.00   61.22
01:25:22 PM    3   21.00    0.00   10.00    0.00    0.00    0.00    0.00    0.00    0.00   69.00
01:25:22 PM    4   27.37    0.00   27.37    0.00    0.00    0.00    0.00    0.00    0.00   45.26
01:25:22 PM    5   33.70    0.00   19.57    0.00    0.00    3.26    0.00    0.00    0.00   43.48
01:25:22 PM    6   25.51    0.00   24.49    0.00    0.00   10.20    0.00    0.00    0.00   39.80
01:25:22 PM    7   34.38    0.00   16.67    0.00    0.00    0.00    0.00    0.00    0.00   48.96

01:25:22 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:25:23 PM  all   24.42    0.00   16.80    0.00    0.00    8.66    0.00    0.00    0.00   50.13
01:25:23 PM    0   10.42    0.00    7.29    0.00    0.00   56.25    0.00    0.00    0.00   26.04
01:25:23 PM    1   25.25    0.00   11.11    0.00    0.00    0.00    0.00    0.00    0.00   63.64
01:25:23 PM    2   26.80    0.00    9.28    0.00    0.00    0.00    0.00    0.00    0.00   63.92
01:25:23 PM    3   21.00    0.00   11.00    0.00    0.00    0.00    0.00    0.00    0.00   68.00
01:25:23 PM    4   31.91    0.00   20.21    0.00    0.00    0.00    0.00    0.00    0.00   47.87
01:25:23 PM    5   26.53    0.00   22.45    0.00    0.00    7.14    0.00    0.00    0.00   43.88
01:25:23 PM    6   26.60    0.00   24.47    0.00    0.00    6.38    0.00    0.00    0.00   42.55
01:25:23 PM    7   27.08    0.00   29.17    0.00    0.00    0.00    0.00    0.00    0.00   43.75

01:25:23 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:25:24 PM  all   24.26    0.00   16.13    0.00    0.00    9.81    0.00    0.00    0.00   49.81
01:25:24 PM    0    9.38    0.00    9.38    0.00    0.00   61.46    0.00    0.00    0.00   19.79
01:25:24 PM    1   27.00    0.00   12.00    0.00    0.00    0.00    0.00    0.00    0.00   61.00
01:25:24 PM    2   23.96    0.00   10.42    0.00    0.00    0.00    0.00    0.00    0.00   65.62
01:25:24 PM    3   21.05    0.00    8.42    0.00    0.00    0.00    0.00    0.00    0.00   70.53
01:25:24 PM    4   29.90    0.00   25.77    0.00    0.00    0.00    0.00    0.00    0.00   44.33
01:25:24 PM    5   28.87    0.00   18.56    0.00    0.00    7.22    0.00    0.00    0.00   45.36
01:25:24 PM    6   24.49    0.00   22.45    0.00    0.00   10.20    0.00    0.00    0.00   42.86
01:25:24 PM    7   29.17    0.00   21.88    0.00    0.00    0.00    0.00    0.00    0.00   48.96

01:25:24 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:25:25 PM  all   23.18    0.00   16.01    0.00    0.00    8.58    0.00    0.00    0.00   52.24
01:25:25 PM    0   11.22    0.00    7.14    0.00    0.00   55.10    0.00    0.00    0.00   26.53
01:25:25 PM    1   17.71    0.00   10.42    0.00    0.00    0.00    0.00    0.00    0.00   71.88
01:25:25 PM    2   17.89    0.00    6.32    0.00    0.00    0.00    0.00    0.00    0.00   75.79
01:25:25 PM    3   19.39    0.00   11.22    0.00    0.00    0.00    0.00    0.00    0.00   69.39
01:25:25 PM    4   27.45    0.00   26.47    0.00    0.00    0.00    0.00    0.00    0.00   46.08
01:25:25 PM    5   28.87    0.00   18.56    0.00    0.00    6.19    0.00    0.00    0.00   46.39
01:25:25 PM    6   30.93    0.00   21.65    0.00    0.00    7.22    0.00    0.00    0.00   40.21
01:25:25 PM    7   31.63    0.00   25.51    0.00    0.00    0.00    0.00    0.00    0.00   42.86

01:25:25 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:25:26 PM  all   25.99    0.00   16.65    0.00    0.00   10.24    0.00    0.00    0.00   47.12
01:25:26 PM    0    9.52    0.00   11.43    0.00    0.00   59.05    0.00    0.00    0.00   20.00
01:25:26 PM    1   26.80    0.00    9.28    0.00    0.00    0.00    0.00    0.00    0.00   63.92
01:25:26 PM    2   29.17    0.00    7.29    0.00    0.00    0.00    0.00    0.00    0.00   63.54
01:25:26 PM    3   18.37    0.00    8.16    0.00    0.00    0.00    0.00    0.00    0.00   73.47
01:25:26 PM    4   31.25    0.00   30.21    0.00    0.00    0.00    0.00    0.00    0.00   38.54
01:25:26 PM    5   31.96    0.00   21.65    0.00    0.00    8.25    0.00    0.00    0.00   38.14
01:25:26 PM    6   31.58    0.00   21.05    0.00    0.00   10.53    0.00    0.00    0.00   36.84
01:25:26 PM    7   30.93    0.00   24.74    0.00    0.00    0.00    0.00    0.00    0.00   44.33

01:25:26 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:25:27 PM  all   24.97    0.00   18.53    0.00    0.00    9.40    0.00    0.00    0.00   47.10
01:25:27 PM    0    8.08    0.00    8.08    0.00    0.00   57.58    0.00    0.00    0.00   26.26
01:25:27 PM    1   12.12    0.00   12.12    0.00    0.00    0.00    0.00    0.00    0.00   75.76
01:25:27 PM    2   16.84    0.00    7.37    0.00    0.00    0.00    0.00    0.00    0.00   75.79
01:25:27 PM    3   18.18    0.00    9.09    0.00    0.00    0.00    0.00    0.00    0.00   72.73
01:25:27 PM    4   37.00    0.00   32.00    0.00    0.00    0.00    0.00    0.00    0.00   31.00
01:25:27 PM    5   36.46    0.00   22.92    0.00    0.00    9.38    0.00    0.00    0.00   31.25
01:25:27 PM    6   36.17    0.00   28.72    0.00    0.00    7.45    0.00    0.00    0.00   27.66
01:25:27 PM    7   35.79    0.00   28.42    0.00    0.00    0.00    0.00    0.00    0.00   35.79

01:25:27 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:25:28 PM  all   25.80    0.00   17.33    0.00    0.00    9.11    0.00    0.00    0.00   47.75
01:25:28 PM    0   10.00    0.00   10.00    0.00    0.00   57.00    0.00    0.00    0.00   23.00
01:25:28 PM    1   23.71    0.00   11.34    0.00    0.00    0.00    0.00    0.00    0.00   64.95
