Linux 6.1.141 (king) 	08/20/2026 	_aarch64_	(8 CPU)

01:23:45 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:23:46 PM  all   26.64    0.00   17.63    0.00    0.00    8.62    0.00    0.00    0.00   47.10
01:23:46 PM    0    5.00    0.00    7.00    0.00    0.00   67.00    0.00    0.00    0.00   21.00
01:23:46 PM    1   21.65    0.00   13.40    0.00    0.00    0.00    0.00    0.00    0.00   64.95
01:23:46 PM    2   25.77    0.00    8.25    0.00    0.00    0.00    0.00    0.00    0.00   65.98
01:23:46 PM    3   29.29    0.00   11.11    0.00    0.00    0.00    0.00    0.00    0.00   59.60
01:23:46 PM    4   33.33    0.00   29.17    0.00    0.00    0.00    0.00    0.00    0.00   37.50
01:23:46 PM    5   37.89    0.00   20.00    0.00    0.00    0.00    0.00    0.00    0.00   42.11
01:23:46 PM    6   32.65    0.00   24.49    0.00    0.00    0.00    0.00    0.00    0.00   42.86
01:23:46 PM    7   28.42    0.00   28.42    0.00    0.00    0.00    0.00    0.00    0.00   43.16

01:23:46 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:23:47 PM  all   24.74    0.00   16.54    0.00    0.00    8.20    0.00    0.00    0.00   50.52
01:23:47 PM    0    6.19    0.00    5.15    0.00    0.00   64.95    0.00    0.00    0.00   23.71
01:23:47 PM    1   14.58    0.00   10.42    0.00    0.00    0.00    0.00    0.00    0.00   75.00
01:23:47 PM    2   16.67    0.00    6.25    0.00    0.00    0.00    0.00    0.00    0.00   77.08
01:23:47 PM    3   20.41    0.00    9.18    0.00    0.00    0.00    0.00    0.00    0.00   70.41
01:23:47 PM    4   40.00    0.00   23.16    0.00    0.00    0.00    0.00    0.00    0.00   36.84
01:23:47 PM    5   32.65    0.00   30.61    0.00    0.00    0.00    0.00    0.00    0.00   36.73
01:23:47 PM    6   35.79    0.00   23.16    0.00    0.00    0.00    0.00    0.00    0.00   41.05
01:23:47 PM    7   32.26    0.00   24.73    0.00    0.00    0.00    0.00    0.00    0.00   43.01

01:23:47 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:23:48 PM  all   25.10    0.00   17.46    0.00    0.00    8.80    0.00    0.00    0.00   48.64
01:23:48 PM    0    5.05    0.00    4.04    0.00    0.00   68.69    0.00    0.00    0.00   22.22
01:23:48 PM    1   23.96    0.00   18.75    0.00    0.00    0.00    0.00    0.00    0.00   57.29
01:23:48 PM    2   26.04    0.00   12.50    0.00    0.00    0.00    0.00    0.00    0.00   61.46
01:23:48 PM    3   26.53    0.00   13.27    0.00    0.00    0.00    0.00    0.00    0.00   60.20
01:23:48 PM    4   32.98    0.00   22.34    0.00    0.00    0.00    0.00    0.00    0.00   44.68
01:23:48 PM    5   27.08    0.00   25.00    0.00    0.00    0.00    0.00    0.00    0.00   47.92
01:23:48 PM    6   30.61    0.00   23.47    0.00    0.00    0.00    0.00    0.00    0.00   45.92
01:23:48 PM    7   29.17    0.00   20.83    0.00    0.00    0.00    0.00    0.00    0.00   50.00

01:23:48 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:23:49 PM  all   24.39    0.00   14.89    0.13    0.00    8.09    0.00    0.00    0.00   52.50
01:23:49 PM    0    5.26    0.00    5.26    0.00    0.00   66.32    0.00    0.00    0.00   23.16
01:23:49 PM    1   27.27    0.00   11.11    1.01    0.00    0.00    0.00    0.00    0.00   60.61
01:23:49 PM    2   33.00    0.00   15.00    0.00    0.00    0.00    0.00    0.00    0.00   52.00
01:23:49 PM    3   30.61    0.00   17.35    0.00    0.00    0.00    0.00    0.00    0.00   52.04
01:23:49 PM    4   23.71    0.00   20.62    0.00    0.00    0.00    0.00    0.00    0.00   55.67
01:23:49 PM    5   24.74    0.00   15.46    0.00    0.00    0.00    0.00    0.00    0.00   59.79
01:23:49 PM    6   26.32    0.00   16.84    0.00    0.00    0.00    0.00    0.00    0.00   56.84
01:23:49 PM    7   23.47    0.00   17.35    0.00    0.00    0.00    0.00    0.00    0.00   59.18

01:23:49 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:23:50 PM  all   25.35    0.00   17.58    0.00    0.00    9.04    0.00    0.00    0.00   48.03
01:23:50 PM    0    6.86    0.00    6.86    0.00    0.00   69.61    0.00    0.00    0.00   16.67
01:23:50 PM    1   32.65    0.00   13.27    0.00    0.00    0.00    0.00    0.00    0.00   54.08
01:23:50 PM    2   31.63    0.00   15.31    0.00    0.00    0.00    0.00    0.00    0.00   53.06
01:23:50 PM    3   27.27    0.00   15.15    0.00    0.00    0.00    0.00    0.00    0.00   57.58
01:23:50 PM    4   27.55    0.00   23.47    0.00    0.00    0.00    0.00    0.00    0.00   48.98
01:23:50 PM    5   25.00    0.00   23.96    0.00    0.00    0.00    0.00    0.00    0.00   51.04
01:23:50 PM    6   26.80    0.00   22.68    0.00    0.00    0.00    0.00    0.00    0.00   50.52
01:23:50 PM    7   25.77    0.00   20.62    0.00    0.00    0.00    0.00    0.00    0.00   53.61

01:23:50 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:23:51 PM  all   25.86    0.00   17.07    0.00    0.00    9.04    0.00    0.00    0.00   48.03
01:23:51 PM    0    4.04    0.00    2.02    0.00    0.00   71.72    0.00    0.00    0.00   22.22
01:23:51 PM    1   21.65    0.00   10.31    0.00    0.00    0.00    0.00    0.00    0.00   68.04
01:23:51 PM    2   21.43    0.00   11.22    0.00    0.00    0.00    0.00    0.00    0.00   67.35
01:23:51 PM    3   22.77    0.00   13.86    0.00    0.00    0.00    0.00    0.00    0.00   63.37
01:23:51 PM    4   37.11    0.00   23.71    0.00    0.00    0.00    0.00    0.00    0.00   39.18
01:23:51 PM    5   30.61    0.00   28.57    0.00    0.00    0.00    0.00    0.00    0.00   40.82
01:23:51 PM    6   35.71    0.00   24.49    0.00    0.00    0.00    0.00    0.00    0.00   39.80
01:23:51 PM    7   34.02    0.00   22.68    0.00    0.00    0.00    0.00    0.00    0.00   43.30

01:23:51 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:23:52 PM  all   25.97    0.00   17.01    0.00    0.00    8.57    0.00    0.00    0.00   48.44
01:23:52 PM    0    3.19    0.00    5.32    0.00    0.00   70.21    0.00    0.00    0.00   21.28
